Luminosity,GlobalTemperature,WhitePopulation,BlackPopulation
1.4,9.608240473776872,783,38
1.405,9.907742294929019,773,37
1.41,9.92915014158463,780,36
1.415,9.84389052495222,785,36
1.42,9.671762124349053,792,35
1.425,9.419002958707724,799,32
1.43,9.340936700391582,801,29
1.435,9.564005805445364,797,28
1.44,9.719472665729286,798,25
1.445,9.948346573035899,797,22
1.45,9.671524244978224,809,18
1.455,9.466182095057567,814,17
1.46,9.404311593488568,816,16
1.465,9.632889252291537,812,14
1.47,9.415995345198786,823,10
1.475,9.400597712282067,824,10
1.48,9.620520342808051,821,9
1.485,9.472655404568858,831,8
1.49,9.661205651256788,827,7
1.495,9.821523907370555,828,6
1.5,10.066624513150769,827,6
1.505,10.343709048048106,826,6
1.51,10.52624863115243,828,5
1.515,10.679328928960732,829,4
1.52,10.796374428676614,831,4
1.525,11.085160064208493,828,4
1.53,11.25121314834906,830,4
1.535,11.24352570877959,836,4
1.54,11.567705846630549,830,3
1.545,11.666714917195867,835,3
1.55,11.824858762028128,835,2
1.555,11.927007950679522,837,1
1.56,12.059748254550229,838,1
1.565,12.283952710366213,837,1
1.57,12.545711017137338,836,1
1.575,12.841629614252035,835,1
1.58,12.947138236217905,839,1
1.585,13.1462862052798,838,1
1.59,13.32943005168301,839,1
1.595,13.498770328690245,840,1
1.6,13.711847476173073,839,0
1.605,13.899610506047084,840,0
1.61,14.186168596756712,838,0
1.615,14.404899263035714,839,0
1.62,14.551495397175657,841,0
1.625,14.736320187404075,841,0
1.63,14.939773430246925,841,0
1.635,15.152140611463789,841,0
1.64,15.368601756016584,841,0
1.645,15.657498216532371,839,0
1.65,15.839723309879364,841,0
1.655,16.111595104557384,839,0
1.66,16.38885250815075,838,0
1.665,16.53075630839915,841,0
1.67,16.745008565866605,840,0
1.675,16.95949845194951,840,0
1.68,17.211766232635348,839,0
1.685,17.435731697141396,839,0
1.69,17.66182449134533,839,0
1.695,17.812778298324123,841,0
1.7,17.995892370129177,841,0
1.705,18.227068845886343,840,0
1.71,18.414503279420007,841,0
1.715,18.68074987521874,839,0
1.72,18.850427825026358,841,0
1.725,19.041639588612508,841,0
1.73,19.270758222307023,840,0
1.735,19.459118103779733,841,0
1.74,19.658694096588842,841,0
1.745,19.862451153123875,841,0
1.75,20.067736956690695,841,0
1.755,20.273419297155808,841,0
1.76,20.478983488531007,841,0
1.765,20.68418862912063,841,0
1.77,20.888920820758617,841,0
1.775,21.093126515306352,841,0
1.78,21.29678123605686,841,0
1.785,21.49987462485125,841,0
1.79,21.73566269695298,840,0
1.795,21.919916293938737,841,0
1.8,22.113228033257347,841,0
1.8,22.310235438401893,841,0
1.8,22.408804971056618,841,0
1.8,22.458112076015233,841,0
1.8,22.48277375275843,841,0
1.8,22.495107702095336,841,0
1.8,22.501275913880036,841,0
1.8,22.504360525446923,841,0
1.8,22.505903042117815,841,0
1.8,22.539933873852576,840,0
1.8,22.522609496112842,841,0
1.8,22.514713777721187,841,0
1.8,22.539553359082884,840,0
1.8,22.52150525175462,841,0
1.8,22.513956187458536,841,0
1.8,22.510544249494146,841,0
1.8,22.508941996243667,841,0
1.8,22.508174470276174,841,0
1.8,22.507802628793232,841,0
